(0,15549)
(California,8000)
(normal,7543)
(1,2294)
(38.440467,1072)
(-122.714431,1072)
(Santa Rosa,1072)
(-123.355566,529)
(Willits,529)
(39.409608,529)
(Apple Valley,315)
(Antelope,315)
(-117.185876,315)
(Stockton,315)
(37.957702,315)
(34.500831,315)
(-121.364422,315)
(38.716687,315)
(-121.29078,315)
(-122.057748,236)
(36.977173,236)
(Aptos,236)
(Arbuckle,236)
(-121.899402,236)
(39.017396,236)
(55,185)
(75,183)
(16,169)
(-118.116461,167)
(37.441883,167)
(34.579434,167)
(-122.143019,167)
(40.563763,167)
(-122.238892,167)
(Palo Cedro,167)
(Palmdale,167)
(Palo Alto,167)
(60,162)
(A17,160)
(A1,160)
(A2,160)
(A3,160)
(A4,160)
(A5,160)
(A6,160)
(A7,160)
(A8,160)
(A9,160)
(A10,160)
(A11,160)
(A12,160)
(A13,160)
(A14,160)
(A15,160)
(A16,160)
(A18,160)
(A19,160)
(A20,160)
(A21,160)
(A22,160)
(A23,160)
(A24,160)
(A25,160)
(A26,160)
(A27,160)
(A28,160)
(A29,160)
(A30,160)
(A31,160)
(A32,160)
(A33,160)
(A34,160)
(A35,160)
(A36,160)
(A37,160)
(A38,160)
(A39,160)
(A40,160)
(A41,160)
(A42,160)
(A43,160)
(A44,160)
(A45,160)
(A46,160)
(A47,160)
(A48,160)
(A49,160)
(A50,160)
(A51,160)
(A52,160)
(A53,160)
(A54,160)
(A55,160)
(A56,160)
(A57,160)
(A58,160)
(A59,160)
(A60,160)
(A61,160)
(A62,160)
(A63,160)
(A64,160)
(A65,160)
(A66,160)
(A67,160)
(A68,160)
(A69,160)
(A70,160)
(A71,160)
(A72,160)
(A73,160)
(A74,160)
(A75,160)
(A76,160)
(A77,160)
(A78,160)
(A79,160)
(A80,160)
(A81,160)
(A82,160)
(A83,160)
(A84,160)
(A85,160)
(A86,160)
(A87,160)
(A88,160)
(A89,160)
(A90,160)
(A91,160)
(A92,160)
(A93,160)
(A94,160)
(A95,160)
(A96,160)
(A97,160)
(A98,160)
(A99,160)
(A100,160)
(Bakersfield,158)
(32.61768,158)
(-119.018712,158)
(-120.996878,158)
(Modesto,158)
(Jacumba,158)
(-117.794694,158)
(Isleton,158)
(Irvine,158)
(33.846404,158)
(33.683947,158)
(38.161861,158)
(-118.046731,158)
(35.373292,158)
(-116.187424,158)
(43,158)
(37.639097,158)
(La Palma,158)
(-121.611621,158)
(-117.157255,157)
(San Diego,157)
(32.715329,157)
(38.130197,156)
(37.962146,156)
(37.941325,156)
(36.471865,156)
(-121.272447,156)
(34.106676,156)
(31,156)
(-6.196595,156)
(-122.345526,156)
(-122.419416,156)
(-122.484704,156)
(San Quentin,156)
(San Francisco,156)
(Lodi,156)
(San Fernando,156)
(San Dimas,156)
(San Pablo,156)
(45,156)
(-117.806726,156)
(37.77493,156)
(54,152)
(lane departure,152)
(unsafe following distance,150)
(37,146)
(40,141)
(58,137)
(68,136)
(46,129)
(42,126)
(27,126)
(41,124)
(23,122)
(70,120)
(56,117)
(33,117)
(17,117)
(48,113)
(39,109)
(21,108)
(53,105)
(61,102)
(19,102)
(69,102)
(62,99)
(34,95)
(73,93)
(25,91)
(47,91)
(overspeed,90)
(22,90)
(50,89)
(64,88)
(15,88)
(18,87)
(32,87)
(66,86)
(57,82)
(71,81)
(Fresno,79)
(Gilroy,79)
(Goleta,79)
(Ukiah,79)
(Klamath,79)
(Redding,79)
(38.36408,79)
(40.58654,79)
(Glendora,79)
(Homeland,79)
(Kneeland,79)
(32.811161,79)
(33.663357,79)
(33.743076,79)
(34.019454,79)
(34.020011,79)
(34.136119,79)
(34.354166,79)
(34.435829,79)
(34.953034,79)
(36.746842,79)
(36.852455,79)
(37.005782,79)
(37.968812,79)
(38.297538,79)
(38.752124,79)
(38.799703,79)
(39.150171,79)
(39.230151,79)
(40.761243,79)
(41.526509,79)
(Hollister,79)
(Holtville,79)
(Knightsen,79)
(La Puente,79)
(La Quinta,79)
(Roseville,79)
(Glen Ellen,79)
(-115.380264,79)
(-116.310009,79)
(-117.109197,79)
(-117.865339,79)
(-117.949508,79)
(-118.491191,79)
(-119.059271,79)
(-119.772587,79)
(-119.827639,79)
(-120.435719,79)
(35,79)
(-121.136075,79)
(-121.288006,79)
(-121.401602,79)
(-121.568275,79)
(-121.668008,79)
(-121.720574,79)
(-122.286865,79)
(-122.391675,79)
(-122.524149,79)
(-123.207783,79)
(-123.994778,79)
(-124.038407,79)
(Santa Maria,79)
(Santa Paula,79)
(Santa Monica,79)
(Knights Landing,79)
(Rough and Ready,79)
(Napa,79)
(39.145725,78)
(Mariposa,78)
(-117.379483,78)
(Oceanside,78)
(Ojai,78)
(Cloverdale,78)
(-122.134132,78)
(Marysville,78)
(Occidental,78)
(34.44805,78)
(-121.591355,78)
(-119.242889,78)
(-119.779683,78)
(33.19587,78)
(-119.966284,78)
(-122.947713,78)
